network,outage_size,outage,count,cer,diagonal,equal,robust,common
8,2,"1,2",0.11916822188033235,0.1063503860525087,0.11017017630639184,0.11293484523023815,0.1063503860525087,0.10449832451987792
8,2,"1,3",0.13728841158118635,0.13651422822847642,0.1368898705438469,0.1368898705438469,0.1368898705438469,0.13614154009094181
8,2,"2,3",0.11780058610933265,0.11240297033096042,0.11615272167347362,0.11638308833657118,0.11443508270315779,0.10849251384872759
9,1,0,0.10100137592403029,0.09845987144935738,0.10251442940170954,0.10410884403003047,0.09839120821240335,0.09844347793794535
9,1,1,0.11604647231679227,0.11303165655515829,0.1153631775956992,0.1153631775956992,0.11297680223414006,0.11076237298969915
9,1,2,0.10852554787071356,0.10736038914269494,0.1076462395098487,0.10769327852829881,0.10736160127727051,0.10680734896059839
9,1,3,0.1242481519599154,0.11656603578298519,0.12060798162012842,0.12114728301004332,0.11681585398267402,0.11455458963574411
9,2,"0,1",0.10457918318301253,0.10088346595267034,0.1066393796916731,0.10890519293854573,0.10088346595267034,0.09972986690525534
9,2,"0,2",0.09549274982927067,0.09606479058411846,0.09546354093694785,0.09566867926812866,0.09596117281684957,0.09647725779001365
9,2,"0,3",0.11865523219782782,0.10906963955089288,0.11489817813070638,0.11561792125953878,0.11204783240497859,0.10413004986684647
9,2,"1,2",0.1125467773672936,0.10900398061083402,0.10938090080438681,0.11088711760654532,0.10900398061083402,0.10712628179178249
9,2,"1,3",0.13297620381278807,0.13283000157444372,0.13395956065023387,0.13395956065023387,0.1339147144785966,0.13276345516189028
9,2,"2,3",0.11642982891823696,0.11246136930252368,0.11363571485202142,0.11414311550609811,0.11294282710220674,0.11099779834269755
10,1,0,0.11674658184543743,0.11413240161474919,0.11600258770330046,0.11785632025354664,0.11413240161474919,0.11362614597470247
10,1,1,0.12907637930208532,0.12327875494607901,0.12762650207769838,0.13009272171222191,0.12327803950158414,0.12079962974009979
10,1,2,0.11666442283602108,0.11388689046018655,0.11660976413956431,0.1177676643541844,0.11388689046018655,0.11342227888803462
10,1,3,0.13033883844323196,0.12781926002436694,0.13493432307818765,0.1351077839956486,0.12782109493564486,0.1258928773153092
10,2,"0,1",0.12122042384222145,0.11598547637313528,0.12023515169794198,0.12382324612258694,0.11598547637313528,0.11444858456884274
10,2,"0,2",0.10762779307543893,0.10780010864575482,0.10752599918468587,0.10771367907085624,0.10777629600427946,0.10808249750279075
10,2,"0,3",0.13148190742401367,0.12271044083971455,0.1284673201421458,0.12971077650004154,0.12592633633824032,0.12000392143300609
10,2,"1,2",0.12229976488684258,0.11675377099237083,0.121483491192062,0.1246573562461385,0.11675377099237083,0.11486690858833304
10,2,"1,3",0.15050964477823442,0.14985442021478163,0.15104044587961607,0.15104044587961607,0.1509697441423602,0.14964954567743616
10,2,"2,3",0.13298278864481733,0.12378401416979856,0.1279381821362694,0.1288393807077299,0.1255951437539135,0.11933273892076413
11,1,0,0.13476452615365797,0.13332705602139003,0.1378596028453542,0.13898224750919994,0.13332705602139003,0.13235573113855637
11,1,1,0.16105133784675302,0.15549647427412355,0.15960384659352186,0.16071928325967993,0.15545593994044363,0.1533692056091674
11,1,2,0.1507587949374411,0.14909038352807616,0.1490874280714335,0.14914200534253594,0.14909038352807616,0.1482425918207962
11,1,3,0.16212041447658337,0.15998601692014852,0.16269152936481235,0.16269152936481235,0.16000411849541496,0.15798098312263323
11,2,"0,1",0.14515086865036703,0.13596339645232092,0.14319987346232674,0.14796790574694607,0.13596339645232092,0.1343193179693163
11,2,"0,2",0.12848539691822197,0.12845185310927432,0.128298989118664,0.12848854020614786,0.12845185310927432,0.1287651812273919
11,2,"0,3",0.14459379540782308,0.14673205082266344,0.1533898260853059,0.1548701355572006,0.15051754213108015,0.14035339884135364
11,2,"1,2",0.1571436855573204,0.14915365295324418,0.14919769188798385,0.14970231535500245,0.14915365295324418,0.14740306823857044
11,2,"1,3",0.1790244969747121,0.17849333752496577,0.17997816068337935,0.17997816068337935,0.17997816068337935,0.17842400829665206
